"Any";"Mes";"Codi_Districte";"Nom_Districte";"Codi_Barri";"Nom_Barri";"Sexe";"Demanda_ocupacio";"Nombre"
2022;1;10;"Sant MartÃ­";67;"la Vila OlÃ­mpica del Poblenou";"Homes";"Atur Registrat";154
2022;1;10;"Sant MartÃ­";68;"el Poblenou";"Homes";"Atur Registrat";536
2022;1;10;"Sant MartÃ­";69;"Diagonal Mar i el Front MarÃ­tim del Poblenou";"Homes";"Atur Registrat";282
2022;1;10;"Sant MartÃ­";70;"el BesÃ²s i el Maresme";"Homes";"Atur Registrat";645
2022;1;10;"Sant MartÃ­";71;"ProvenÃ§als del Poblenou";"Homes";"Atur Registrat";391
2022;1;10;"Sant MartÃ­";72;"Sant MartÃ­ de ProvenÃ§als";"Homes";"Atur Registrat";506
2022;1;10;"Sant MartÃ­";73;"la Verneda i la Pau";"Homes";"Atur Registrat";569
2022;1;99;"No consta";99;"No consta";"Homes";"Atur Registrat";31
2022;1;1;"Ciutat Vella";1;"el Raval";"Homes";"Demanda No Aturats";612
2022;1;1;"Ciutat Vella";2;"el Barri GÃ²tic";"Homes";"Demanda No Aturats";167
2022;1;1;"Ciutat Vella";3;"la Barceloneta";"Homes";"Demanda No Aturats";130
2022;1;1;"Ciutat Vella";4;"Sant Pere, Santa Caterina i la Ribera";"Homes";"Demanda No Aturats";182
2022;1;2;"Eixample";5;"el Fort Pienc";"Homes";"Demanda No Aturats";175
2022;1;2;"Eixample";6;"la Sagrada FamÃ­lia";"Homes";"Demanda No Aturats";292
2022;1;2;"Eixample";7;"la Dreta de l'Eixample";"Homes";"Demanda No Aturats";174
2022;1;2;"Eixample";8;"l'Antiga Esquerra de l'Eixample";"Homes";"Demanda No Aturats";183
2022;1;2;"Eixample";9;"la Nova Esquerra de l'Eixample";"Homes";"Demanda No Aturats";335
2022;1;2;"Eixample";10;"Sant Antoni";"Homes";"Demanda No Aturats";248
2022;1;3;"Sants-MontjuÃ¯c";11;"el Poble Sec";"Homes";"Demanda No Aturats";345
2022;1;3;"Sants-MontjuÃ¯c";12;"la Marina del Prat Vermell";"Homes";"Demanda No Aturats";20
2022;1;3;"Sants-MontjuÃ¯c";13;"la Marina de Port";"Homes";"Demanda No Aturats";347
2022;1;3;"Sants-MontjuÃ¯c";14;"la Font de la Guatlla";"Homes";"Demanda No Aturats";89
2022;1;3;"Sants-MontjuÃ¯c";15;"Hostafrancs";"Homes";"Demanda No Aturats";115
2022;1;3;"Sants-MontjuÃ¯c";16;"la Bordeta";"Homes";"Demanda No Aturats";135
2022;1;3;"Sants-MontjuÃ¯c";17;"Sants - Badal";"Homes";"Demanda No Aturats";147
2022;1;3;"Sants-MontjuÃ¯c";18;"Sants";"Homes";"Demanda No Aturats";276
2022;1;4;"Les Corts";19;"les Corts";"Homes";"Demanda No Aturats";272
2022;1;4;"Les Corts";20;"la Maternitat i Sant Ramon";"Homes";"Demanda No Aturats";145
2022;1;4;"Les Corts";21;"Pedralbes";"Homes";"Demanda No Aturats";24
2022;1;5;"SarriÃ -Sant Gervasi";22;"Vallvidrera, el Tibidabo i les Planes";"Homes";"Demanda No Aturats";16
2022;1;5;"SarriÃ -Sant Gervasi";23;"SarriÃ ";"Homes";"Demanda No Aturats";63
2022;1;5;"SarriÃ -Sant Gervasi";24;"les Tres Torres";"Homes";"Demanda No Aturats";61
2022;1;5;"SarriÃ -Sant Gervasi";25;"Sant Gervasi - la Bonanova";"Homes";"Demanda No Aturats";81
2022;1;5;"SarriÃ -Sant Gervasi";26;"Sant Gervasi - Galvany";"Homes";"Demanda No Aturats";132
2022;1;5;"SarriÃ -Sant Gervasi";27;"el Putxet i el FarrÃ³";"Homes";"Demanda No Aturats";131
2022;1;6;"GrÃ cia";28;"Vallcarca i els Penitents";"Homes";"Demanda No Aturats";93
2022;1;6;"GrÃ cia";29;"el Coll";"Homes";"Demanda No Aturats";39
2022;1;6;"GrÃ cia";30;"la Salut";"Homes";"Demanda No Aturats";79
2022;1;6;"GrÃ cia";31;"la Vila de GrÃ cia";"Homes";"Demanda No Aturats";266
2022;1;6;"GrÃ cia";32;"el Camp d'en Grassot i GrÃ cia Nova";"Homes";"Demanda No Aturats";189
2022;1;7;"Horta-GuinardÃ³";33;"el Baix GuinardÃ³";"Homes";"Demanda No Aturats";151
2022;1;7;"Horta-GuinardÃ³";34;"Can BarÃ³";"Homes";"Demanda No Aturats";57
2022;1;7;"Horta-GuinardÃ³";35;"el GuinardÃ³";"Homes";"Demanda No Aturats";253
2022;1;7;"Horta-GuinardÃ³";36;"la Font d'en Fargues";"Homes";"Demanda No Aturats";71
2022;1;7;"Horta-GuinardÃ³";37;"el Carmel";"Homes";"Demanda No Aturats";242
2022;1;7;"Horta-GuinardÃ³";38;"la Teixonera";"Homes";"Demanda No Aturats";79
2022;1;7;"Horta-GuinardÃ³";39;"Sant GenÃ­s dels Agudells";"Homes";"Demanda No Aturats";49
2022;1;7;"Horta-GuinardÃ³";40;"Montbau";"Homes";"Demanda No Aturats";35
2022;1;7;"Horta-GuinardÃ³";41;"la Vall d'Hebron";"Homes";"Demanda No Aturats";37
2022;1;7;"Horta-GuinardÃ³";42;"la Clota";"Homes";"Demanda No Aturats";3
2022;1;7;"Horta-GuinardÃ³";43;"Horta";"Homes";"Demanda No Aturats";218
2022;1;8;"Nou Barris";44;"Vilapicina i la Torre Llobeta";"Homes";"Demanda No Aturats";215
2022;1;8;"Nou Barris";45;"Porta";"Homes";"Demanda No Aturats";214
2022;1;8;"Nou Barris";46;"el TurÃ³ de la Peira";"Homes";"Demanda No Aturats";133
2022;1;8;"Nou Barris";47;"Can Peguera";"Homes";"Demanda No Aturats";17
2022;1;8;"Nou Barris";48;"la Guineueta";"Homes";"Demanda No Aturats";120
2022;1;8;"Nou Barris";49;"Canyelles";"Homes";"Demanda No Aturats";59
2022;1;8;"Nou Barris";50;"les Roquetes";"Homes";"Demanda No Aturats";127
2022;1;8;"Nou Barris";51;"Verdun";"Homes";"Demanda No Aturats";98
2022;1;8;"Nou Barris";52;"la Prosperitat";"Homes";"Demanda No Aturats";240
2022;1;8;"Nou Barris";53;"la Trinitat Nova";"Homes";"Demanda No Aturats";93
2022;1;8;"Nou Barris";54;"Torre BarÃ³";"Homes";"Demanda No Aturats";26
2022;1;8;"Nou Barris";55;"Ciutat Meridiana";"Homes";"Demanda No Aturats";136
2022;1;8;"Nou Barris";56;"Vallbona";"Homes";"Demanda No Aturats";16
2022;1;9;"Sant Andreu";57;"la Trinitat Vella";"Homes";"Demanda No Aturats";126
